KE/eV,PE: 600 eV
26,220.730699118004
28,215.438199139151
30,195.059799220579
32,172.341699311357
34,154.071999384359
36,142.804299429382
38,130.901099476945
40,124.831799501197
42,113.677899545766
44,106.917599572778
46,100.488299598469
48,94.7597496213587
50,90.1566896397516
52,87.1646596517072
54,82.1804496716231
56,76.3535696949062
58,73.0156397082439
60,69.2268397233832
62,67.1652397316209
64,70.4268597185882
66,81.2864996751952
68,73.5088597062731
70,59.3677097627783
72,56.6635697735835
74,56.514559774179
76,55.5675097779632
78,53.8533197848128
80,52.3670797907515
82,50.600849797809
84,51.4313297944905
86,50.7689197971374
88,49.3455998028247
90,48.5658698059404
92,47.3165798109323
94,49.5658898019445
96,47.5440398100234
98,47.7859698090567
100,47.9839598082656
102,51.5094497941784
104,48.8225698049146
106,45.4588398183554
108,44.0816098238586
110,52.6484397896272
112,51.5985997938222
114,44.6709698215036
116,45.2224398193
118,44.9528898203771
120,44.9829698202569
122,45.8996998165939
124,44.5763698218816
126,45.9308698164693
128,43.8756298246816
130,45.8656598167299
132,45.8688598167171
134,46.3219898149065
136,45.6813398174664
138,43.2753298270803
140,44.5418698220195
142,44.9809098202652
144,69.3387997229358
146,70.4539097184801
148,39.9207998404844
150,41.8016798329687
152,92.0456596322037
154,62.9950797482841
156,34.8398398607869
158,34.2654398630821
160,31.8627598726827
162,32.7418998691698
164,33.668069865469
166,33.5498198659415
168,33.7181998652687
170,33.7534798651278
172,33.0592998679016
174,33.5490098659448
176,33.9780498642304
178,33.0865198677928
180,35.4701698582682
182,34.1556798635206
184,34.2698898630643
186,34.1590598635071
188,33.3984798665463
190,33.3097298669009
192,35.298549858954
194,33.5247898660416
196,33.4701898662597
198,34.717679861275
200,34.0128498640914
202,33.346229866755
204,33.614279865684
206,32.5524798699267
208,33.9660398642784
210,33.5258998660371
212,34.8272498608372
214,33.5507398659379
216,35.1863098594024
218,34.5883598617917
220,34.0786798638283
222,34.1553598635219
224,34.3178898628725
226,34.0806198638206
228,35.2308698592244
230,34.8705398606642
232,35.3066398589216
234,35.9613398563056
236,35.1494698595496
238,35.0681998598744
240,34.7897398609871
242,35.3824098586189
244,34.9534998603327
246,36.6851998534132
248,35.9399198563912
250,37.0251798520547
252,34.427129862436
254,37.7945098489806
256,37.1606698515133
258,38.1795298474421
260,37.7758398490552
262,36.8635198527006
264,36.1100698557113
266,34.448899862349
268,33.7372198651927
270,31.8166198728671
272,31.7542498731163
274,29.2876698829722
276,30.1453198795452
278,28.5165498860535
280,28.7162598852555
282,29.0802298838011
284,28.8672398846522
286,28.7092698852834
288,29.7250898812244
290,28.8850898845809
292,30.1911598793621
294,29.2647698830637
296,28.9856198841792
298,26.4773598942017
300,26.8573498926833
302,27.2235098912202
304,26.0627898958582
306,25.8019998969003
308,26.9075198924829
310,29.7794598810071
312,43.7946798250051
314,30.638409877575
316,24.867849900633
318,23.852769904689
320,24.8510599007001
322,24.8133499008507
324,25.9137198964539
326,24.8804099005828
328,26.5411798939467
330,26.8063998928869
332,25.7629598970563
334,25.5872198977585
336,26.1221398956211
338,25.6867498973608
340,26.1765198954038
342,25.6112098976627
344,26.4231098944185
346,23.7588599050643
348,24.2304899031797
350,24.3607799026591
352,23.9595799042622
354,22.6734699094013
356,23.0727299078059
358,22.4994299100967
360,24.0101099040603
362,22.5130699100422
364,23.8213899048144
366,23.568739905824
368,22.2547899110742
370,23.1812099073725
372,22.359949910654
374,24.1529699034895
376,24.0283499039875
378,23.6956399053169
380,24.1770999033931
382,24.3942899025252
384,24.0341899039641
386,23.1431899075244
388,23.1821099073689
390,24.2192199032248
392,24.8169299008364
394,24.0693399038237
396,27.8614598886711
398,31.8601398726932
400,34.2576598631131
402,30.7945898769509
404,27.4852398901744
406,30.1486098795321
408,27.2164498912484
410,22.4584399102605
412,21.0341099159518
414,20.3443999187078
416,20.1939099193091
418,20.2367599191379
420,20.9090399164516
422,22.1449299115132
424,22.8235499088016
426,22.3072099108648
428,20.4432699183127
430,20.3055999188628
432,19.5610699218378
434,19.9008599204801
436,20.401919918478
438,20.2625999190346
440,19.7002999212815
442,20.0300499199639
444,19.1169999236122
446,19.7670199210149
448,20.623379917593
450,19.1194099236026
452,20.1297399195655
454,20.1615499194384
456,19.6216399215958
458,20.1252599195834
460,20.3178699188138
462,19.606069921658
464,19.9368499203363
466,20.6796699173681
468,21.3390899147332
470,20.1086799196497
472,20.3191799188086
474,22.5012699100894
476,21.7496299130928
478,20.2321199191564
480,19.5546499218635
482,19.6677299214116
484,21.0989799156926
486,21.2998899148898
488,21.5034899140763
490,23.8830999045678
492,22.660529909453
494,19.8993099204863
496,19.4190099224055
498,18.2773899269672
500,15.7270899371577
502,16.3164899348025
504,15.7836399369317
506,17.8751099285746
508,22.1806499113705
510,30.4626598782772
512,30.4226298784372
514,20.06105991984
516,15.2603199390228
518,11.9246799523513
520,8.50678596600856
522,6.65785297339653
524,6.75897197299248
526,6.05668697579867
528,4.81535098075881
530,4.7068879811922
532,3.84549698463415
534,3.72467998511691
536,3.55846998578106
538,3.91429698435924
540,4.23629698307259
542,4.43073898229564
544,4.22727398310865
546,3.09806798762073
548,2.72439798911384
550,3.01166598796598
552,2.59162498964438
554,2.84520098863114
556,2.84753498862181
558,2.61436598955351
560,2.0150399919483
562,2.7737599889166
564,2.50767498997983
566,2.72723198910252
568,2.86808098853971
570,3.57748098570509
572,3.05126098780776
