PE/eV,AbNorm_161116_1251_Is
270.7,0.073284424
270.9,0.074287282
271.1,0.074121154
271.3,0.074101587
271.5,0.073961066
271.7,0.073656783
271.9,0.073330533
272.1,0.073271737
272.3,0.072767593
272.5,0.072467659
272.7,0.072087586
272.9,0.071786966
273.1,0.07159501
273.3,0.0713546
273.5,0.071398306
273.7,0.071136537
273.9,0.071137799
274.1,0.071041964
274.3,0.070905965
274.5,0.070744408
274.7,0.070562291
274.9,0.070522061
275.1,0.070478778
275.3,0.070459829
275.5,0.07034724
275.7,0.070511505
275.9,0.07058147
276.1,0.070476979
276.3,0.070559632
276.5,0.070554815
276.7,0.070498357
276.9,0.070442951
277.1,0.070448796
277.3,0.070467042
277.5,0.07042279
277.7,0.070556932
277.9,0.070618373
278.1,0.07067512
278.3,0.070739564
278.5,0.071139384
278.7,0.071170924
278.9,0.071166977
279.1,0.071010552
279.3,0.071286048
279.5,0.071422077
279.7,0.071485657
279.9,0.071677773
280.1,0.072008648
280.3,0.072105835
280.5,0.072324219
280.7,0.072633065
280.9,0.072970787
281.1,0.073548827
281.3,0.073973293
281.5,0.074768957
281.7,0.075494986
281.9,0.076377993
282.1,0.077683613
282.3,0.079599034
282.5,0.082531254
282.7,0.08590411
282.9,0.0900969
283.1,0.094438139
283.3,0.101356305
283.5,0.113118431
283.7,0.132919413
283.9,0.157281457
284.1,0.215817122
284.3,0.269679529
284.5,0.311911166
284.7,0.348647879
284.9,0.382820941
285.1,0.385968381
285.3,0.356659991
285.5,0.295469734
285.7,0.251038859
285.9,0.233930877
286.1,0.234504526
286.3,0.237088952
286.5,0.239713459
286.7,0.253615923
286.9,0.27931298
287.1,0.291783824
287.3,0.293925045
287.5,0.299128291
287.7,0.303036753
287.9,0.308490201
288.1,0.317102543
288.3,0.328614425
288.5,0.345140564
288.7,0.354853746
288.9,0.348525812
289.1,0.342605852
289.3,0.338262907
289.5,0.334025417
289.7,0.328995798
289.9,0.323462858
290.1,0.317271983
290.3,0.31397887
290.5,0.313732599
290.7,0.318315695
290.9,0.321728216
291.1,0.327798161
291.3,0.338298035
291.5,0.35219694
291.7,0.375507408
291.9,0.391323915
292.1,0.404872192
292.3,0.416320418
292.5,0.426081346
292.7,0.429876702
292.9,0.431677795
293.1,0.434733764
293.3,0.437673862
293.5,0.440386485
293.7,0.441040024
293.9,0.440978306
294.1,0.441572673
294.3,0.44331266
294.5,0.446266058
294.7,0.447392584
294.9,0.44851131
295.1,0.450069974
295.3,0.452750602
295.5,0.452575534
295.7,0.454095652
295.9,0.455108705
296.1,0.455972843
296.3,0.45666991
296.5,0.457031186
296.7,0.458367072
296.9,0.458481837
297.1,0.459120326
297.3,0.459162529
297.5,0.46028455
297.7,0.461298353
297.9,0.461149515
298.1,0.462202162
298.3,0.462135108
298.5,0.461932826
298.7,0.461746828
298.9,0.461377776
299.1,0.46178416
299.3,0.461022112
299.5,0.460639893
299.7,0.458983298
299.9,0.458255055
300.1,0.457892154
300.3,0.457560607
300.5,0.457335567
300.7,0.456581947
300.9,0.456500222
301.1,0.455520517
301.3,0.454221455
301.5,0.452818443
301.7,0.451519356
301.9,0.450207268
302.1,0.450217395
302.3,0.448496588
302.5,0.446686481
302.7,0.444756243
302.9,0.443437548
303.1,0.442150368
303.3,0.440130872
303.5,0.439177908
303.7,0.43707803
303.9,0.434861336
304.1,0.433904716
304.3,0.431489344
304.5,0.429826975
304.7,0.427063422
304.9,0.424738377
305.1,0.422442327
305.3,0.42119273
305.5,0.418912882
305.7,0.416682452
305.9,0.41513562
306.1,0.412318136
306.3,0.410681151
306.5,0.407574281
306.7,0.406288044
306.9,0.404429694
307.1,0.402689782
307.3,0.400560518
307.5,0.398509335
307.7,0.396105471
307.9,0.395271674
308.1,0.392809073
308.3,0.390821086
308.5,0.388774887
308.7,0.387419461
308.9,0.386170013
309.1,0.383715834
309.3,0.382188692
309.5,0.380806629
309.7,0.379346346
309.9,0.37733419
310.1,0.376494036
310.3,0.374845074
310.5,0.37396568
310.7,0.372129741
310.9,0.37096589
311.1,0.369303741
311.3,0.368188628
311.5,0.367564278
311.7,0.366054471
311.9,0.365312489
312.1,0.364350079
312.3,0.36357398
312.5,0.362285391
312.7,0.361809227
312.9,0.36168177
313.1,0.360428211
313.3,0.359929234
313.5,0.358566711
313.7,0.358215981
313.9,0.357730495
314.1,0.356872667
314.3,0.35698283
314.5,0.356291986
314.7,0.355361424
314.9,0.354506654
315.1,0.35442684
315.3,0.353793056
315.5,0.353791867
315.7,0.352909897
315.9,0.352369673
316.1,0.352541584
316.3,0.351741267
316.5,0.351090085
316.7,0.351214033
316.9,0.35099323
317.1,0.349927191
317.3,0.350143482
317.5,0.349506407
317.7,0.349385008
317.9,0.349546099
318.1,0.348856298
318.3,0.348850722
318.5,0.349056387
318.7,0.348481393
318.9,0.348541253
319.1,0.348283755
319.3,0.348282986
319.5,0.348419899
319.7,0.347468235
319.9,0.347760807
320.1,0.347352077
320.3,0.347304783
320.5,0.347370455
320.7,0.347111019
